f_min,f_max,c_min,c_max,n_min,n_max,target_delay_min,target_delay_max,delay,min_rtt
53.03030303030303,19.693654266958422,nan,nan,nan,nan,nan,nan,0.12993,0.05
41.666666666666664,19.693654266958422,nan,nan,nan,nan,nan,nan,0.05013,0.05
25.86206896551724,25.86206896551724,25.86206896551724,25.86206896551724,1,1.5,0.05,0.07500000000000001,0.090769,0.05
25.495750708215297,25.495750708215297,25.495750708215297,25.495750708215297,1,1.5,0.05,0.07500000000000001,0.335499,0.05
62.93706293706294,25.495750708215297,nan,nan,nan,nan,nan,nan,0.286401,0.05
66.0377358490566,25.495750708215297,nan,nan,nan,nan,nan,nan,0.125814,0.05
75,25.495750708215297,nan,nan,nan,nan,nan,nan,0.033054,0.05
57.69230769230769,57.69230769230769,57.692307692307686,57.692307692307686,1,0.9999999999999999,0.05,0.049999999999999996,0.019103,0.05
41.91616766467066,41.91616766467066,41.91616766467067,41.91616766467067,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.127859,0.05
56.644880174291934,56.644880174291934,56.64488017429193,56.64488017429193,1,0.9999999999999999,0.05,0.049999999999999996,0.419062,0.05
117.21611721611721,56.644880174291934,nan,nan,nan,nan,nan,nan,0.251686,0.05
88.23529411764706,56.644880174291934,nan,nan,nan,nan,nan,nan,0.062597,0.05
83.33333333333334,56.644880174291934,nan,nan,nan,nan,nan,nan,0.006034,0.05
66.66666666666667,66.66666666666667,66.66666666666666,66.66666666666666,1,0.9999999999999998,0.05,0.04999999999999999,0.012733,0.05
56.60377358490566,56.60377358490566,56.60377358490566,56.60377358490566,1,1.5,0.05,0.07500000000000001,0.118486,0.05
71.00591715976331,71.00591715976331,71.0059171597633,71.0059171597633,1,0.9999999999999998,0.05,0.04999999999999999,0.465842,0.05
120.73490813648294,71.00591715976331,nan,nan,nan,nan,nan,nan,0.367908,0.05
97.34513274336283,71.00591715976331,nan,nan,nan,nan,nan,nan,0.094337,0.05
84.50704225352113,71.00591715976331,nan,nan,nan,nan,nan,nan,0.033684,0.05
65.57377049180327,65.57377049180327,65.57377049180327,65.57377049180327,1,1.5,0.05,0.07500000000000001,0.083315,0.05
64.59948320413436,64.59948320413436,64.59948320413436,64.59948320413436,1,1.5,0.05,0.07500000000000001,0.345961,0.05
84.50704225352113,105.15463917525773,105.15463917525773,181.1439088762545,1,2.143536255035678,0.05,0.10717681275178391,0.471218,0.05
103.22580645161291,105.15463917525773,nan,nan,nan,nan,nan,nan,0.150568,0.05
68.9655172413793,105.15463917525773,nan,nan,nan,nan,nan,nan,0.045427,0.05
58.8235294117647,58.8235294117647,58.82352941176469,58.82352941176469,1,0.9999999999999998,0.05,0.04999999999999999,0.034563,0.05
42.016806722689076,42.016806722689076,42.01680672268907,42.01680672268907,1,0.9999999999999998,0.05,0.04999999999999999,0.196837,0.05
68.9655172413793,74.62686567164178,74.62686567164177,80.47095241150475,1,1.1668288099668191,0.05,0.05834144049834096,0.495242,0.05
91.46341463414633,74.62686567164178,nan,nan,nan,nan,nan,nan,0.312392,0.05
81.81818181818181,74.62686567164178,nan,nan,nan,nan,nan,nan,0.112349,0.05
70.58823529411764,74.62686567164178,nan,nan,nan,nan,nan,nan,0.053554,0.05
52.083333333333336,52.083333333333336,52.08333333333333,52.08333333333333,1,0.9999999999999999,0.05,0.049999999999999996,0.151,0.05
61.42034548944338,61.42034548944338,61.42034548944338,61.42034548944338,1,1.5,0.05,0.07500000000000001,0.485293,0.05
110.02444987775061,61.42034548944338,nan,nan,nan,nan,nan,nan,0.383956,0.05
90.22556390977444,61.42034548944338,nan,nan,nan,nan,nan,nan,0.105921,0.05
83.33333333333334,61.42034548944338,nan,nan,nan,nan,nan,nan,0.043692,0.05
63.38028169014085,63.38028169014085,63.38028169014085,63.38028169014085,1,1.5,0.05,0.07500000000000001,0.100926,0.05
72.97297297297297,72.97297297297297,72.97297297297297,72.97297297297297,1,1.5,0.05,0.07500000000000001,0.331194,0.05
134.50292397660817,72.97297297297297,nan,nan,nan,nan,nan,nan,0.317124,0.05
121.95121951219512,72.97297297297297,nan,nan,nan,nan,nan,nan,0.101093,0.05
142.85714285714286,72.97297297297297,nan,nan,nan,nan,nan,nan,0.026094,0.05
128.57142857142856,128.57142857142856,128.57142857142847,128.57142857142847,1,0.9999999999999993,0.05,0.04999999999999997,0.025923,0.05
117.97752808988764,117.97752808988764,117.97752808988764,117.97752808988764,1,1.5,0.05,0.07500000000000001,0.132416,0.05
142.85714285714286,170.16317016317018,170.1631701631702,190.21886987363945,1.0000000000000002,1.331532089115476,0.05000000000000002,0.0665766044557738,0.394261,0.05
171.5210355987055,170.16317016317018,nan,nan,nan,nan,nan,nan,0.282606,0.05
163.79310344827584,170.16317016317018,nan,nan,nan,nan,nan,nan,0.088221,0.05
210.52631578947367,170.16317016317018,nan,nan,nan,nan,nan,nan,0.014013,0.05
210.52631578947367,216.66666666666669,216.6666666666666,293.2299481667648,1,1.392842253792133,0.05,0.06964211268960666,0.014222,0.05
210.52631578947367,231.34328358208953,231.34328358208955,250.0225543083759,1.0000000000000002,1.1876071329647857,0.05000000000000002,0.05938035664823929,0.086663,0.05
210.52631578947367,248.75621890547262,248.75621890547268,267.6859738471113,1.0000000000000002,1.2715083757737788,0.05000000000000002,0.06357541878868894,0.361985,0.05
219.25133689839572,248.75621890547262,nan,nan,nan,nan,nan,nan,0.348497,0.05
219.6969696969697,248.75621890547262,nan,nan,nan,nan,nan,nan,0.098904,0.05
290.3225806451613,248.75621890547262,nan,nan,nan,nan,nan,nan,0.020436,0.05
290.3225806451613,328.57142857142856,328.5714285714288,916.3937296082931,1.0000000000000007,3.15646729087301,0.05000000000000004,0.1578233645436505,0.022152,0.05
290.3225806451613,356.25,356.25,411.95903931055483,1,1.4189700242919112,0.05,0.07094850121459556,0.111039,0.05
290.3225806451613,304.6218487394958,304.6218487394958,311.80746198676866,1,1.0740034801766476,0.05,0.05370017400883238,0.432181,0.05
274.7524752475247,304.6218487394958,nan,nan,nan,nan,nan,nan,0.396638,0.05
271.52317880794703,304.6218487394958,nan,nan,nan,nan,nan,nan,0.11037,0.05
