time,event,cwnd
3568446000,"""ProbeDrain""",27.00
3568715000,"""ProbeUpdate""",27.00
3591049000,"""ProbeGain""",38.00
3591837000,"""ProbeDrain""",27.00
3592054000,"""ProbeUpdate""",36.00
3616951000,"""ProbeGain""",96.00
3618019000,"""ProbeDrain""",36.00
3618369000,"""ProbeUpdate""",36.00
3641451000,"""ProbeGain""",79.00
3642283000,"""ProbeDrain""",36.00
3642776000,"""ProbeUpdate""",31.00
3665427000,"""ProbeGain""",59.00
3666215000,"""ProbeDrain""",31.00
3666514000,"""ProbeUpdate""",30.00
3688348000,"""ProbeGain""",57.00
3689135000,"""ProbeDrain""",30.00
3689428000,"""ProbeUpdate""",29.00
3711514000,"""ProbeGain""",56.00
3712304000,"""ProbeDrain""",29.00
3712607000,"""ProbeUpdate""",28.00
3734931000,"""ProbeGain""",53.00
3735715000,"""ProbeDrain""",28.00
3736003000,"""ProbeUpdate""",28.00
3758495000,"""ProbeGain""",54.00
3759281000,"""ProbeDrain""",28.00
3759581000,"""ProbeUpdate""",28.00
3782117000,"""ProbeGain""",53.00
3782902000,"""ProbeDrain""",28.00
3783197000,"""ProbeUpdate""",28.00
3805743000,"""ProbeGain""",53.00
3806531000,"""ProbeDrain""",28.00
3806821000,"""ProbeUpdate""",28.00
3829373000,"""ProbeGain""",53.00
3830161000,"""ProbeDrain""",28.00
3830452000,"""ProbeUpdate""",28.00
3852911000,"""ProbeGain""",52.00
3853695000,"""ProbeDrain""",28.00
3853981000,"""ProbeUpdate""",28.00
3876282000,"""ProbeGain""",74.00
3877046000,"""ProbeDrain""",28.00
3877460000,"""ProbeUpdate""",29.00
3899707000,"""ProbeGain""",58.00
3900609000,"""ProbeDrain""",29.00
3900955000,"""ProbeUpdate""",25.00
3922745000,"""ProbeGain""",45.00
3923518000,"""ProbeDrain""",25.00
3923776000,"""ProbeUpdate""",26.00
3946342000,"""ProbeGain""",52.00
3947133000,"""ProbeDrain""",26.00
3947447000,"""ProbeUpdate""",26.00
3970081000,"""ProbeGain""",54.00
3970882000,"""ProbeDrain""",26.00
3971222000,"""ProbeUpdate""",25.00
3994137000,"""ProbeGain""",49.00
3994924000,"""ProbeDrain""",25.00
3995225000,"""ProbeUpdate""",25.00
4017930000,"""ProbeGain""",48.00
4018715000,"""ProbeDrain""",25.00
4019003000,"""ProbeUpdate""",25.00
4041462000,"""ProbeGain""",47.00
4042242000,"""ProbeDrain""",25.00
4042521000,"""ProbeUpdate""",26.00
4065208000,"""ProbeGain""",50.00
4065994000,"""ProbeDrain""",26.00
4066287000,"""ProbeUpdate""",26.00
4089035000,"""ProbeGain""",50.00
4089823000,"""ProbeDrain""",26.00
4090117000,"""ProbeUpdate""",26.00
4112689000,"""ProbeGain""",49.00
4113473000,"""ProbeDrain""",26.00
4113755000,"""ProbeUpdate""",26.00
4136178000,"""ProbeGain""",39.00
4136950000,"""ProbeDrain""",26.00
4137161000,"""ProbeUpdate""",26.00
4159130000,"""ProbeGain""",64.00
4160018000,"""ProbeDrain""",26.00
4160340000,"""ProbeUpdate""",26.00
4181553000,"""ProbeGain""",46.00
4182320000,"""ProbeDrain""",26.00
4182637000,"""ProbeUpdate""",27.00
4204692000,"""ProbeGain""",51.00
4205478000,"""ProbeDrain""",27.00
4205762000,"""ProbeUpdate""",27.00
4227769000,"""ProbeGain""",52.00
4228559000,"""ProbeDrain""",27.00
4228855000,"""ProbeUpdate""",27.00
4251407000,"""ProbeGain""",53.00
4252199000,"""ProbeDrain""",27.00
4252508000,"""ProbeUpdate""",27.00
